Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,VBI,NDBI,BU,IBI,BBI,IBUI,BAEI,MBI,BRBA,NBI,BSI,MultiBI
1,6,0,0.2016000,0.2728000,0.2524000,0.3576000,0.3451000,0.2144190,0.2609970,0.2728000,0.0221113,-0.0177885,-0.1343590,1.300572251730000,0,-0.121412900581000,0.893995792199000,-0.0426914,0.8561740,0.2080750,-0.0267937,0.0354405
1,1,0,0.2540000,0.2654000,0.2714000,0.2662000,0.3371000,0.1091950,0.0641120,0.2714000,0.6178260,0.1175200,0.0530373,4.817655433530000,1,0.222923397986000,0.948381742739000,0.0235812,0.8402480,0.3293100,0.0674502,0.0865306
1,1,0,0.2540000,0.2648000,0.3024000,0.3220000,0.3584000,0.0371901,0.1600530,0.3024000,0.3078090,0.0534979,0.0289238,5.557958309230000,1,0.213283007588000,0.966623876765000,0.0047783,0.7852510,0.3616590,0.0593139,0.2893510
1,1,0,0.2144000,0.2228000,0.2308000,0.2206000,0.2931000,0.0853659,0.0710572,0.2308000,0.5292000,0.1411330,0.0742934,4.058198170560000,1,0.278338773651000,1.028881566190000,0.0254978,0.8121040,0.2973410,0.0832213,0.1084410
1,1,0,0.3038000,0.3304000,0.3248000,0.3188000,0.4058000,0.2017540,0.0805085,0.3304000,0.6081440,0.1200660,0.0400737,8.033215663620000,0,0.181112538230000,0.848682423255000,0.0287501,0.8840500,0.3743150,0.0589940,0.1023580
1,1,0,0.3464000,0.3944000,0.4052000,0.4384000,0.3636000,0.1360540,0.1451140,0.4052000,0.4726150,-0.0932668,-0.1416100,1.378985332810000,1,-0.321562225869000,0.930343007916000,-0.0371636,1.5204500,0.2463180,-0.0399600,-0.0949936
1,1,0,0.4472000,0.4664000,0.4684000,0.4752000,0.3838000,0.1509430,0.0452605,0.4684000,0.8237730,-0.1064030,-0.1095710,1.652079274980000,1,-0.316155010756000,0.903787344154000,-0.0346867,1.5158600,0.3045780,-0.0498384,-0.1520640
1,1,0,0.1614000,0.1770000,0.1658000,0.2596000,0.3348000,0.2863250,0.0881356,0.1770000,0.3351660,0.1265140,-0.1266610,-0.408403674938000,0,0.123458446720000,0.910121141071000,-0.0156305,0.6820240,0.1552620,0.0682885,0.0179357
1,4,0,0.1500000,0.1870000,0.1942000,0.2674000,0.2596000,0.1395170,0.2276000,0.1942000,-0.0791852,-0.0148008,-0.1422370,0.677666188643000,1,-0.077517852667100,1.106583072100000,-0.0292408,0.9354530,0.1507700,-0.0006607,0.1124620
1,1,0,0.2690000,0.3100000,0.3062000,0.2934000,0.3842000,0.1821140,0.1322580,0.3100000,0.4018960,0.1340020,0.0804054,2.608830589390000,0,0.263809783019000,0.873235378853000,0.0320781,0.7881600,0.4054490,0.0672438,0.1040310
1,1,0,0.2786000,0.2710000,0.2766000,0.2840000,0.4636000,0.7894740,0.0272793,0.2786000,0.8216340,0.2402350,0.1390640,2.521229756000000,2,0.543046485713000,0.784916961612000,0.0464516,0.5344930,0.5040160,0.1429890,0.2536380
1,1,0,0.3042000,0.3332000,0.3452000,0.3684000,0.3285000,0.1178860,0.1187720,0.3452000,0.4880220,-0.0572536,-0.0712420,1.388536165230000,1,-0.145750816608000,0.975064228502000,-0.0214186,1.1685801,0.2767970,-0.0202865,0.0282877
1,1,0,0.2258000,0.2208000,0.2214000,0.3352000,0.2776000,0.6866660,0.0221435,0.2258000,0.8213830,-0.0939948,-0.2040230,1.264697222640000,2,-0.251181911403000,1.046147672550000,-0.0610146,0.9981970,0.1464990,-0.0540284,-0.0267168
1,6,0,0.1266000,0.1314000,0.1512000,0.3284000,0.3159000,0.0325204,0.1626980,0.1512000,-0.0366310,-0.0194009,-0.2782670,0.452160029154000,1,-0.045919851191800,1.008718980550000,-0.0755279,0.6722990,0.1035470,0.0078757,-0.0356229
1,3,0,0.1870000,0.2172000,0.2636000,0.3628000,0.3253000,0.0657093,0.2905920,0.2636000,-0.0487047,-0.0544979,-0.1569820,0.644988748185000,1,-0.088437625079500,1.038894009220000,-0.0482030,0.9943420,0.1926140,0.0076140,0.1207880
1,1,0,0.2924000,0.3228000,0.3204000,0.3424000,0.3259000,0.1798250,0.0941760,0.3228000,0.5482910,-0.0246895,-0.0314061,2.324475770410000,0,-0.053220590690200,0.956374287036000,-0.0129659,0.9928730,0.3019660,-0.0144110,0.0991760
1,1,0,0.2972000,0.3244000,0.3086000,0.3356000,0.4056000,0.2634800,0.0838471,0.3244000,0.5892330,0.0944414,0.0035550,7.829756915270000,0,0.124859352851000,0.833698630137000,0.0119459,0.8336030,0.3404160,0.0394411,0.1244460
1,1,0,0.2542000,0.2770000,0.2854000,0.2768000,0.3642000,0.1217950,0.1093200,0.2854000,0.4460880,0.1363490,0.0913453,2.587372510350000,1,0.315533207915000,0.912975670618000,0.0294953,0.7353770,0.4001580,0.0796078,0.1498700
1,1,0,0.3316000,0.3368000,0.3416000,0.3212000,0.4142000,0.0866667,0.0292740,0.3416000,0.8421350,0.1264620,0.0837848,2.794379849830000,1,0.266169557861000,0.854327563249000,0.0355815,0.8075650,0.4498650,0.0691753,0.1420250
1,1,0,0.3592000,0.3616000,0.3564000,0.4164000,0.3411000,0.4230770,0.0143805,0.3616000,0.9235040,-0.0994059,-0.1298770,1.755700789060000,0,-0.281998409416000,0.934111285043000,-0.0465221,1.2370700,0.2465870,-0.0545578,0.0545431
1,1,0,0.4252000,0.4948000,0.5244000,0.5204000,0.3734000,0.1169350,0.1891690,0.5244000,0.4697960,-0.1644660,-0.1271960,1.714571137770000,1,-0.394166037339000,0.949550794748000,-0.0528876,1.7092600,0.3091580,-0.0613696,-0.0074780
1,1,0,0.2788000,0.2634000,0.2492000,0.2360000,0.3506000,0.5867120,0.1061690,0.2788000,0.4484270,0.1953630,0.0999304,2.769892620030000,1,0.334772551411000,0.894462540717000,0.0378961,0.7449930,0.3532090,0.0913392,0.0418243
1,1,0,0.3100000,0.3276000,0.3272000,0.4140000,0.3522000,0.1704550,0.0537241,0.3276000,0.7182240,-0.0806578,-0.1454550,1.492743936480000,0,-0.242513469580000,0.922624301265000,-0.0513592,1.1228600,0.2303050,-0.0437720,0.0134512
1,2,0,0.0777000,0.1266000,0.1974000,0.3340000,0.3831000,0.0680869,0.6063830,0.1974000,-0.5088230,0.0684702,-0.1308600,-0.940587996849000,1,0.299912830312000,0.975868157740000,-0.0392915,0.5965550,0.1955680,0.1151670,0.3904780
1,2,0,0.0695000,0.0951000,0.1792000,0.2434000,0.4589000,0.0388940,0.6121650,0.1792000,-0.5471120,0.3068490,0.0695928,37.936966742000003,1,0.843402144919000,0.864981949458000,0.0260820,0.4042410,0.3263740,0.3067790,0.5057160
1,1,0,0.3152000,0.3632000,0.3748000,0.4096000,0.4244000,0.1342280,0.1590180,0.3748000,0.4042240,0.0177458,-0.0393543,0.299045574513000,1,0.002719439452980,0.856780091417000,-0.0072030,0.9801260,0.3499110,0.0167939,0.0584383
1,2,0,0.0809000,0.1074000,0.2088000,0.2730000,0.3239000,0.0345322,0.6125480,0.2088000,-0.4915670,0.0852739,-0.0549099,-1.262508662680000,1,0.427316149596000,1.179689311380000,-0.0085623,0.7298150,0.2188190,0.1667940,0.3809680
1,2,0,0.0830000,0.1092000,0.1504000,0.2900000,0.3101000,0.0647874,0.4481380,0.1504000,-0.4974420,0.0334944,-0.1983280,-0.233561007078000,1,0.176788307455000,1.074171237780000,-0.0499147,0.6084140,0.1282030,0.0713040,0.3202780
1,2,0,0.0870000,0.1124000,0.1632000,0.2644000,0.3756000,0.0555556,0.4669120,0.1632000,-0.4819970,0.1737500,-0.0651830,-3.607269990950000,1,0.482000008308000,0.949180327869000,-0.0107189,0.4986250,0.2020250,0.1769330,0.2946630
1,2,0,0.0830000,0.1030000,0.1538000,0.2466000,0.3045000,0.0470810,0.4603380,0.1538000,-0.4991350,0.1050630,-0.0995084,-1.477466488070000,1,0.372632091049000,1.113619631900000,-0.0198318,0.5841250,0.1642150,0.1345460,0.3591510
1,3,0,0.1710000,0.2106000,0.2226000,0.3416000,0.3447000,0.1279070,0.2318060,0.2226000,-0.0202592,0.0045170,-0.1574060,0.476042469086000,1,-0.030134548987100,0.941112911939000,-0.0439656,0.8027410,0.1807000,0.0134882,0.0520164
1,3,0,0.1348000,0.1676000,0.1712000,0.3632000,0.3087000,0.1501830,0.2126170,0.1712000,-0.1079080,-0.0811133,-0.2771070,0.912581858779000,1,-0.177113786611000,0.989292462734000,-0.0937787,0.6996320,0.1153430,-0.0503611,0.1288070
1,3,0,0.1880000,0.2148000,0.2326000,0.2710000,0.3236000,0.1001490,0.1917460,0.2326000,0.0962765,0.0884628,-0.0148185,-4.623376701210000,1,0.191300750141000,0.989227340267000,0.0022103,0.7818490,0.2553450,0.0675624,0.1284180
1,6,0,0.1606000,0.1908000,0.2114000,0.3336000,0.2724000,0.0990813,0.2403030,0.2114000,-0.0639862,-0.1009900,-0.2059160,0.995962012361000,1,-0.186852145011000,1.104058721930000,-0.0657005,0.9263800,0.1446090,-0.0402698,0.0808262
1,2,0,0.1060000,0.1338000,0.2048000,0.3132000,0.3413000,0.0468961,0.4824220,0.2048000,-0.4039770,0.0429335,-0.1437040,-0.278654156296000,1,0.198884071005000,1.062513155130000,-0.0328128,0.7647500,0.1751130,0.0997886,0.1933560
0,7,0,0.0558000,0.0798000,0.0863000,0.2358000,0.2546000,0.1311480,0.3534180,0.0863000,-0.6074760,0.0383361,-0.2776520,-0.156445598280000,1,0.158788738997000,1.155203349280000,-0.0583140,0.4394090,0.0718801,0.0385377,0.0907728
1,3,0,0.2014000,0.2216000,0.2598000,0.3776000,0.3189000,0.0576484,0.2247880,0.2598000,0.0722504,-0.0842785,-0.2003600,0.891937195771000,1,-0.191243076786000,1.035707678080000,-0.0624611,1.0669399,0.1675350,-0.0174039,0.0447968
1,3,0,0.1886000,0.1896000,0.2176000,0.2478000,0.2413000,0.0057471,0.1332720,0.2176000,0.2403380,-0.0132897,-0.0745585,0.394993787452000,1,-0.011168767043700,1.201206776510000,-0.0125909,1.0396600,0.1837920,0.0239875,0.0514990
1,3,0,0.1804000,0.2204000,0.2374000,0.3172000,0.3459000,0.1169590,0.2401010,0.2374000,-0.0056567,0.0432816,-0.0843004,-0.372511501158000,1,0.083397942171700,0.948966978633000,-0.0205432,0.7863530,0.2259490,0.0407708,0.1822880
1,6,0,0.1880000,0.2188000,0.2198000,0.3012000,0.3102000,0.1614260,0.1446770,0.2198000,0.2061120,0.0147203,-0.1013990,0.272913145759000,1,0.006630078199370,0.982608695652000,-0.0271168,0.8010200,0.2002430,0.0095238,0.0832468
1,3,0,0.1288000,0.1384000,0.1470000,0.1582000,0.1989000,0.0879121,0.1238090,0.1470000,0.0856340,0.1139740,0.0459587,4.210857476700000,1,0.287115875128000,1.325229765790000,0.0083536,0.7174230,0.1903940,0.0767315,0.1619660
1,6,0,0.1506000,0.1806000,0.1846000,0.3580000,0.2802000,0.1470590,0.1841820,0.1846000,0.0011335,-0.1219050,-0.2925190,1.133948695230000,1,-0.298791467892000,1.051649305560000,-0.0929012,0.8883540,0.1071510,-0.0735500,-0.0726106
1,6,0,0.1150000,0.1530000,0.1688000,0.2964000,0.3150000,0.1177200,0.3187200,0.1688000,-0.3075160,0.0304220,-0.1559620,-0.325323009841000,1,0.110219508338000,1.001709401710000,-0.0444514,0.6140410,0.1565560,0.0368624,0.1076600
1,3,0,0.1810000,0.2070000,0.2268000,0.2674000,0.2776000,0.0946143,0.2019400,0.2268000,0.0579837,0.0187156,-0.0598968,-0.057293610925700,1,0.046791216601500,1.087082129590000,-0.0110690,0.9145160,0.2103460,0.0306498,0.1415630
1,3,0,0.1880000,0.2376000,0.2240000,0.3104000,0.3110000,0.2123660,0.2087540,0.2376000,0.0646253,0.0009656,-0.1000760,0.800943173673000,0,-0.029969314520000,0.955158585490000,-0.0315639,0.7794020,0.2074020,-0.0120036,0.0885865
1,3,0,0.1658000,0.1760000,0.1922000,0.3104000,0.3244000,0.0643939,0.1373570,0.1922000,0.1664150,0.0220542,-0.1407640,-0.127201491587000,1,0.073371615769400,0.983613109512000,-0.0411106,0.6793920,0.1751720,0.0301097,0.1354730
1,3,0,0.1838000,0.2084000,0.2088000,0.3136000,0.2714000,0.1640000,0.1197320,0.2088000,0.2711100,-0.0721368,-0.2013030,1.117688573130000,1,-0.224444259054000,1.060441850770000,-0.0525027,1.0028800,0.1386230,-0.0417083,0.0578151
0,7,0,0.1314000,0.1802000,0.1704000,0.3648000,0.3437000,0.2001370,0.2708100,0.1802000,-0.2009050,-0.0297812,-0.2513470,0.803460321839000,0,-0.109068115495000,0.897881275052000,-0.0847793,0.6185120,0.1286880,-0.0291757,-0.0109927
1,3,0,0.1874000,0.2302000,0.2400000,0.3144000,0.3876000,0.1356150,0.2191670,0.2400000,0.0453721,0.1042740,-0.0465871,-3.453526117650000,1,0.189957681894000,0.874069278084000,-0.0061819,0.7031940,0.2605340,0.0708070,0.0345435
1,3,0,0.1776000,0.2070000,0.2184000,0.3000000,0.3520000,0.1200980,0.1868130,0.2184000,0.0779511,0.0797546,-0.0782042,-1.029124280830000,1,0.140202240990000,0.927370304114000,-0.0150772,0.7265470,0.2188370,0.0588453,0.0831092
0,7,0,0.0840000,0.1168000,0.1162000,0.2874000,0.2522000,0.1697150,0.2808220,0.1168000,-0.4125070,-0.0652335,-0.3177810,0.672637763651000,0,-0.128639278190000,1.127913279130000,-0.0812643,0.6210580,0.0756472,-0.0463370,0.0990504
1,6,0,0.1616000,0.2066000,0.2198000,0.3444000,0.3063000,0.1288660,0.2647860,0.2198000,-0.0928342,-0.0585523,-0.2020730,0.902637483829000,1,-0.164541850368000,1.013452914800000,-0.0589163,0.9246950,0.1517030,-0.0231176,0.0970673
1,3,0,0.1572000,0.1804000,0.2120000,0.2916000,0.2673000,0.0705596,0.2584910,0.2120000,-0.0988130,-0.0434783,-0.1693140,0.655569548583000,1,-0.105435309389000,1.143622961800000,-0.0367920,1.0474300,0.1471500,0.0076737,0.0426648
1,1,0,0.2824000,0.2888000,0.3228000,0.3472000,0.3606000,0.0264026,0.1251550,0.3228000,0.4412170,0.0189319,-0.0642068,0.397723091360000,1,-0.012714050907400,0.959039113027000,-0.0040230,1.1181200,0.2684110,0.0359254,-0.0175226
1,3,0,0.2108000,0.2340000,0.2596000,0.3484000,0.3314000,0.0792349,0.1879820,0.2596000,0.1600120,-0.0250074,-0.1391620,0.671182763659000,1,-0.080220878411200,0.989741775734000,-0.0376316,0.9722850,0.1989470,0.0073291,0.0279124
1,3,0,0.1882000,0.2006000,0.2366000,0.2770000,0.3472000,0.0426997,0.2045650,0.2366000,0.0726154,0.1124640,-0.0063678,-4.470666268380000,1,0.273753821922000,0.979554581964000,0.0062948,0.7484970,0.2699970,0.1000570,0.2002360
1,3,0,0.0879000,0.0997000,0.1114000,0.2264000,0.2242000,0.0836879,0.2109520,0.1114000,-0.3088290,-0.0048824,-0.1605810,-1.551041752570000,1,0.197758085619000,1.270145106510000,-0.0467635,0.4734380,0.1157790,0.0143570,0.3639380
1,3,0,0.2168000,0.2294000,0.2626000,0.3452000,0.3180000,0.0458515,0.1744100,0.2626000,0.2018040,-0.0410133,-0.1618940,0.765080889606000,1,-0.137874376322000,1.027767628790000,-0.0385140,1.1127100,0.1795300,0.0051939,0.0170890
1,3,0,0.1672000,0.1904000,0.2014000,0.3496000,0.3222000,0.1130600,0.1698110,0.2014000,0.0850962,-0.0407859,-0.2245250,0.775207698174000,1,-0.134476671254000,0.978150604760000,-0.0656540,0.8291480,0.1399320,-0.0154194,0.0391638
1,3,0,0.1902000,0.2190000,0.2324000,0.3336000,0.3278000,0.1137440,0.1815830,0.2324000,0.1227500,-0.0087693,-0.1219660,0.394416789657000,1,-0.008559741008490,0.973664959766000,-0.0392797,0.7937160,0.2039770,0.0068296,0.1803100
1,3,0,0.0952000,0.1156000,0.1344000,0.2896000,0.3227000,0.0867347,0.2916670,0.1344000,-0.3691130,0.0540585,-0.1985970,-0.559438639676000,1,0.189403942021000,0.991101984942000,-0.0542350,0.4939360,0.1262780,0.0601879,0.1374370
1,2,0,0.0995000,0.1562000,0.2392000,0.2868000,0.4166000,0.0676450,0.5840300,0.2392000,-0.4188750,0.1845320,0.0325535,-9.431896388360000,1,0.540619649608000,0.941340782123000,0.0184558,0.6094270,0.3273570,0.1936660,0.3056920
1,3,0,0.1844000,0.2522000,0.2364000,0.4016000,0.3725000,0.2055060,0.2688340,0.2522000,-0.0319255,-0.0375920,-0.1913810,1.226341160450000,0,-0.149006184254000,0.858652153033000,-0.0724627,0.7550300,0.1843050,-0.0355587,0.0605060
1,1,0,0.3188000,0.3496000,0.3620000,0.3892000,0.3133000,0.1188270,0.1193370,0.3620000,0.5041440,-0.1080430,-0.1190930,1.551940852620000,1,-0.289344614930000,0.998642329160000,-0.0357558,1.4009300,0.2403410,-0.0449049,-0.0021294
0,7,0,0.0976000,0.1482000,0.1484000,0.3416000,0.2821000,0.1660110,0.3423180,0.1484000,-0.3951720,-0.0953984,-0.3092200,0.920939822687000,1,-0.205702402524000,1.042063676500000,-0.0969135,0.6854500,0.0940533,-0.0644355,0.0538367
1,3,0,0.1432000,0.1638000,0.1880000,0.2858000,0.3653000,0.0766369,0.2382980,0.1880000,-0.1179880,0.1221010,-0.0994748,-1.138748264260000,1,0.237655004801000,0.922320922321000,-0.0154990,0.6480520,0.1908290,0.1034000,0.2044540
1,3,0,0.1638000,0.2106000,0.2242000,0.3086000,0.3290000,0.1291390,0.2694020,0.2242000,-0.0915764,0.0319950,-0.0981213,-0.122740118725000,1,0.059008195985500,0.971460340993000,-0.0249155,0.7836420,0.2078540,0.0317046,0.1206600
1,3,0,0.1094000,0.1372000,0.1316000,0.2688000,0.2887000,0.2002400,0.2026240,0.1372000,-0.1925230,0.0356951,-0.2161200,0.169800304510000,0,0.037569733493000,1.013383423340000,-0.0497178,0.5859310,0.1099600,0.0173061,0.0561762
1,2,0,0.1206000,0.1510000,0.2100000,0.2602000,0.3307000,0.0566741,0.4257140,0.2100000,-0.3393260,0.1193100,-0.0179414,-2.844871459920000,1,0.366321104542000,1.058750259500000,0.0021763,0.7002330,0.2420410,0.1360440,0.2327120
1,3,0,0.1480000,0.1672000,0.2044000,0.2786000,0.3192000,0.0567376,0.2759300,0.2044000,-0.1489180,0.0679157,-0.0744004,-1.101719650720000,1,0.204097467721000,1.037006578950000,-0.0154244,0.7266260,0.2063810,0.0802558,0.1690710
1,2,0,0.0732000,0.1072000,0.1686000,0.1766000,0.2114000,0.0593990,0.5658360,0.1686000,-0.5408720,0.0896907,0.0270750,-2.955019242040000,1,0.390183020305000,1.470809792840000,0.0080030,0.8176530,0.1968590,0.1449230,0.2660710
1,3,0,0.1080000,0.1196000,0.1472000,0.2916000,0.3138000,0.0493197,0.2663040,0.1472000,-0.2880360,0.0366700,-0.2073540,-0.118640536101000,1,0.131735653457000,1.031841255190000,-0.0516067,0.5993490,0.1239790,0.0570970,0.0653099
0,7,0,0.0517000,0.0756000,0.0866000,0.2366000,0.2294000,0.1141360,0.4030020,0.0866000,-0.6462440,-0.0154506,-0.3118140,0.160189609441000,1,0.071418954364200,1.267540983610000,-0.0653520,0.5049560,0.0627722,0.0060490,0.1688050
1,3,0,0.1462000,0.1730000,0.2296000,0.3572000,0.3754000,0.0535571,0.3632400,0.2296000,-0.2254240,0.0248430,-0.1428160,-0.171857128163000,1,0.124778490349000,0.965718453683000,-0.0430264,0.7368420,0.2002890,0.0658915,0.2108690
1,1,0,0.2500000,0.2576000,0.2806000,0.4304000,0.3501000,0.0413944,0.1090520,0.2806000,0.4402590,-0.1028830,-0.2281200,1.145646127300000,1,-0.278886441377000,0.955405627777000,-0.0819961,1.0763299,0.1699640,-0.0434519,-0.0022822
1,3,0,0.1064000,0.1460000,0.1440000,0.3852000,0.2922000,0.1750840,0.2712330,0.1460000,-0.3001510,-0.1372900,-0.3555590,1.072639842630000,0,-0.273234048176000,1.013235965310000,-0.1294160,0.6301970,0.0854206,-0.0982014,0.0824457
1,2,0,0.0742000,0.0932000,0.1694000,0.2482000,0.3379000,0.0332633,0.5619840,0.1694000,-0.5367680,0.1530460,-0.0454573,-2.608014508100000,1,0.536586048437000,1.088842495940000,-0.0057750,0.5609270,0.2061190,0.1954750,0.3749200
1,3,0,0.1830000,0.2264000,0.2284000,0.3164000,0.2957000,0.1593250,0.1987740,0.2284000,0.0693532,-0.0338180,-0.1401700,0.947600177232000,1,-0.112418657685000,1.012066653900000,-0.0387520,0.9165330,0.1798900,-0.0175274,0.0156033
1,3,0,0.1528000,0.1782000,0.2036000,0.3112000,0.3189000,0.0833334,0.2495090,0.2036000,-0.1013200,0.0122203,-0.1362000,0.011074267958700,1,0.060609226434100,1.013075839870000,-0.0382840,0.7427950,0.1793280,0.0327107,0.0611623
1,3,0,0.1830000,0.1952000,0.1870000,0.1888000,0.2241000,0.2786880,0.0625000,0.1952000,0.5149400,0.0854929,0.0461465,2.026176234960000,0,0.162924237701000,1.161459575480000,0.0104372,0.8151700,0.2272130,0.0340838,0.1103470
1,1,0,0.4132000,0.4464000,0.4588000,0.5040000,0.4227000,0.1213450,0.0993897,0.4588000,0.6438860,-0.0877307,-0.1280070,1.427375493640000,1,-0.282687066082000,0.873087101599000,-0.0433643,1.3915700,0.3001320,-0.0376112,-0.0842694
1,3,0,0.1578000,0.1704000,0.1746000,0.2770000,0.2560000,0.1250000,0.0962199,0.1746000,0.2894180,-0.0393996,-0.2213640,0.833064093722000,1,-0.176640817976000,1.113039399620000,-0.0452677,0.9776040,0.1125760,-0.0191344,0.0107711
1,3,0,0.2024000,0.2488000,0.2532000,0.3484000,0.3306000,0.1522310,0.2006320,0.2532000,0.1158320,-0.0262150,-0.1406960,0.910403815293000,1,-0.111595455234000,0.954780807732000,-0.0404148,0.9308820,0.1976760,-0.0113463,0.0021188
1,3,0,0.1260000,0.1360000,0.1444000,0.3552000,0.3129000,0.0905798,0.1274240,0.1444000,0.0624529,-0.0633139,-0.3177330,0.691969481456000,1,-0.135781337309000,0.989975495656000,-0.0996730,0.6272810,0.0935836,-0.0357406,0.1230940
1,6,0,0.1068000,0.1256000,0.1360000,0.2768000,0.3267000,0.1073060,0.2147060,0.1360000,-0.2244210,0.0826843,-0.1831350,-0.617842885292000,1,0.188055233879000,0.963961972142000,-0.0435254,0.5167170,0.1293180,0.0697030,0.0661936
1,3,0,0.1610000,0.1918000,0.2034000,0.2686000,0.3008000,0.1210690,0.2084560,0.2034000,-0.0122767,0.0565508,-0.0609191,-1.740261605100000,1,0.136954965528000,1.021924482340000,-0.0141864,0.7329730,0.2101400,0.0454074,0.0978201
1,3,0,0.1676000,0.2120000,0.2358000,0.3320000,0.3297000,0.1085040,0.2892280,0.2358000,-0.1017620,-0.0034759,-0.1190760,0.251883931484000,1,0.013414407422100,0.989108362562000,-0.0361902,0.8150710,0.2054730,0.0193781,0.1413140
1,3,0,0.1600000,0.1788000,0.2170000,0.2410000,0.3131000,0.0549708,0.2626730,0.2170000,-0.0952166,0.1301210,0.0019902,-2.838342527130000,1,0.291826829702000,1.051026631430000,0.0127891,0.8042990,0.2429320,0.1161170,0.0928472
1,3,0,0.1964000,0.2136000,0.2552000,0.3324000,0.3375000,0.0487528,0.2304080,0.2552000,0.0510546,0.0076131,-0.0968511,0.025887194771300,1,0.056029883002100,1.007439666120000,-0.0263320,0.8698020,0.2252580,0.0410117,0.0950592
1,1,0,0.2698000,0.2790000,0.2984000,0.2634000,0.3945000,0.0536131,0.0958445,0.2984000,0.5137810,0.1992700,0.1429410,2.953234644420000,1,0.444517974324000,0.888492947290000,0.0505482,0.7188630,0.4702580,0.1218330,0.1498350
1,3,0,0.1014000,0.1302000,0.1628000,0.3196000,0.3440000,0.0781759,0.3771500,0.1628000,-0.3969810,0.0367691,-0.1786710,-0.531973291054000,1,0.179151191703000,0.975959510755000,-0.0558337,0.5433910,0.1526120,0.0595860,0.1995570
1,6,0,0.1172000,0.1402000,0.1728000,0.2854000,0.3647000,0.0689448,0.3217590,0.1728000,-0.3011960,0.1219810,-0.0883753,-3.116576461370000,1,0.337368139846000,0.936423054070000,-0.0224000,0.5273120,0.1984110,0.1161870,0.1487680
1,6,0,0.2116000,0.2356000,0.2846000,0.4928000,0.3059000,0.0547945,0.2565000,0.2846000,0.0519306,-0.2340050,-0.3650650,1.283111810780000,1,-0.576970955640000,1.079593721140000,-0.1438130,1.5706400,0.1046460,-0.1045570,-0.0187874
1,4,0,0.0878000,0.1244000,0.1428000,0.2352000,0.2842000,0.1109090,0.3851540,0.1428000,-0.4590440,0.0943396,-0.1323070,-0.705098054701000,1,0.213063601426000,1.083700440530000,-0.0222520,0.6321380,0.1371540,0.0856852,0.1034280
